Tipologia Programma - Codice;Progetto - Codice;Progetto - Titolo;Articolazione I livello - Codice;Articolazione III livello;Articolazione IV livello;CI - Campo Intervento - Descrizione;FF - Forma di Finanziamento - Descrizione;TT - Tipo di Territorio - Descrizione;AE - Attività Economica - Descrizione;RA - Risultato Atteso - Descrizione;RA - Obiettivo tematico - Descrizione;Provincia - Descrizione;Stato Attuazione Progetto;Costo Ammesso;Importo Impegni ammessi;Importo Pagamenti ammessi
IGJ;FESR-3-3.1.1-030593D;CLAS S.P.A.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Industrie alimentari e delle bevande;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;IMPERIA;In Esecuzione;65655,63;65655,63;65655,63
IGJ;FESR-3-3.1.1-030594D;B E C FALEGNAMERIA S.N.C. DI BALBO EZIO E CROSIGLIA GIOVANNI;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;IMPERIA;In Esecuzione;10076,64;10076,64;10076,64
IGJ;FESR-3-3.1.1-030595D;LA PINETA DI MASSIMO BERTONI S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;40539,73;40539,73;40539,73
IGJ;FESR-3-3.1.1-030596D;DOIT SRL;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;8996,33;8996,33;8996,33
IGJ;FESR-3-3.1.1-030597D;PAOLO BANDINI ARCHITETTO;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;19905;19905;0
IGJ;FESR-3-3.1.1-030598D;CASEIFICIO ESPOSITO ERASMO S.N.C. DI LUCIANO E MARIO ESPOSITO;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Industrie alimentari e delle bevande;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;14460;14460;14460
IGJ;FESR-3-3.1.1-030599D;IMPRESA EDILE CECCHI DI MOLFINO FRANCA;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;56550;56550;22620
IGJ;FESR-3-3.1.1-030600D;STUDIO ODONTOIATRICO DOTT. G. ALIGNANI & DOTT.SSA F. FERRERA;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Attività dei servizi sanitari;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;20415,17;20415,17;20415,17
IGJ;FESR-3-3.1.1-030601D;BAGNI ROMA RISTO' - SOCIETA' IN NOME COLLETTIVO DI DANIELA MANDER E FABIO MANDER;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;17550;17550;0
IGJ;FESR-3-3.1.1-030602D;RA.RO. SCAVI E COSTRUZIONI S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;28569,32;28569,32;28569,32
IGJ;FESR-3-3.1.1-030603C;NATIONAL EXPRESS S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Trasporti e stoccaggio;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;9960;9960;9960
IGJ;FESR-3-3.1.1-030604D;CARDACAL SAS;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;8763,62;8763,62;8763,62
IGJ;FESR-3-3.1.1-030606D;SPORT AND GO SOCIETA' SPORTIVA DILETTANTISTICA A RESPONSABILITA' LIMITATA;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;53513,08;53513,08;53513,08
IGJ;FESR-3-3.1.1-030607D;VALMODA DI POLLI CATERINA, LOREDANA & C. S.N.C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Commercio all'ingrosso e al dettaglio;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;9459,14;9459,14;9459,14
IGJ;FESR-3-3.1.1-030609D;BUSCAGLIA TRASLOCHI S.N.C. DI BUSCAGLIA MAURIZIO E C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;25059,66;25059,66;25059,66
IGJ;FESR-3-3.1.1-030610D;I PIACERI DELLA PASTA DI VALLETTI BEATRICE E C. - S.A.S.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;8807,67;8807,67;8807,67
IGJ;FESR-3-3.1.1-030611D;K2 DI BRIOZZO ALESSIA E C. S.N.C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;56182,5;56182,5;56182,5
IGJ;FESR-3-3.1.1-030612D;NAVALDIESEL - S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;74038,2;74038,2;0
IGJ;FESR-3-3.1.1-030613D;RISTORANTE LINO DI MACCHIAVELLO MAURA & VESCINA MARIA FLORA S.N.C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Commercio all'ingrosso e al dettaglio;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;8349,39;8349,39;8349,39
IGJ;FESR-3-3.1.1-030614D;VELARIA S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Industrie tessili e dell'abbigliamento;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;13787,1;13787,1;0
IGJ;FESR-3-3.1.1-030615D;BAR VECCHIO MERCATO DI FIGOLI DIEGO & C. S.A.S.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Commercio all'ingrosso e al dettaglio;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;17700;17700;17700
IGJ;FESR-3-3.1.1-030616D;HOTEL LAMBERTI DI CAVALLI DARIO;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;In Esecuzione;11092,79;11092,79;11092,79
IGJ;FESR-3-3.1.1-030617D;MEDONE MARMI SOCIETA' IN ACCOMANDITA SEMPLICE DI RENZO MEDONE E C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;In Esecuzione;76824,59;76824,59;0
IGJ;FESR-3-3.1.1-030618D;BAGNI MADONNETTA DI TRAVERSA ALBERTO E LIGRESTI DIEGO E C. S.A.S.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;72655,54;72655,54;72655,54
IGJ;FESR-3-3.1.1-030619D;SIMAN DIVISIONE IMMOBILIARE S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;200000;200000;200000
IGJ;FESR-3-3.1.1-030620D;GASPARINI DAVIDE;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;8850,83;8850,83;8850,83
IGJ;FESR-3-3.1.1-030621D;A.O.C. SRL;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e decontaminazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;117802;117802;117802
IGJ;FESR-3-3.1.1-030622D;BENFANTE S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e decontaminazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;136045,14;136045,14;0
IGJ;FESR-3-3.1.1-030623D;PONTE ANDREA;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;8984,51;8984,51;8984,51
IGJ;FESR-3-3.1.1-030625D;HOT PRESS S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;26810,43;26810,43;26810,43
IGJ;FESR-3-3.1.1-030626D;DOLCE E SALATO DI BISANTI ROBERTO & C. S.N.C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Industrie alimentari e delle bevande;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;24209,26;24209,26;24209,26
IGJ;FESR-3-3.1.1-030627D;BLUE MARLIN DI GIANNONI GIAN LUCA E C. S.A.S.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Industrie alimentari e delle bevande;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;29070;29070;29070
IGJ;FESR-3-3.1.1-030628D;LE CICALE DI COSTA MATTEO & C. S.A.S.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;14814,39;14814,39;14814,39
IGJ;FESR-3-3.1.1-030629D;EDIL MERELLO PORTOFINO S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;7101,24;7101,24;7101,24
IGJ;FESR-3-3.1.1-030630D;CAMPIRIO & MANGINI IMPRESA FUNEBRE S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;37026;37026;37026
IGJ;FESR-3-3.1.1-030631D;MED PIU' SRL;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Attività dei servizi sanitari;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;157130,39;157130,39;0
IGJ;FESR-3-3.1.1-030632D;CARAMELLE ROSSELLA SOCIETA' IN ACCOMANDITA SEMPLICE DI MARTA PRIORI;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Industrie alimentari e delle bevande;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;46510,65;46510,65;46510,65
IGJ;FESR-3-3.1.1-030633D;OFFICINE FONDERIE PATRONE S.P.A;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;27393,61;27393,61;27393,61
IGJ;FESR-3-3.1.1-030634D;RICCETTO SOCIETA' IN ACCOMANDITA SEMPLICE DI  RICCI M. & C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;IMPERIA;Concluso;9035,04;9035,04;9035,04
IGJ;FESR-3-3.1.1-030635D;AUTOTRASPORTI GMD SRL;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Trasporti e stoccaggio;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;100000;100000;100000
IGJ;FESR-3-3.1.1-030636D;COSME - S.P.A.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;44507,68;44507,68;44507,68
IGJ;FESR-3-3.1.1-030637D;GEAS MARE S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Turismo, servizi di alloggio e di ristorazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;In Esecuzione;19827,59;19827,59;19827,59
IGJ;FESR-3-3.1.1-030638D;AGAVE SAS DI REZZANO MARCO & C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;15610,83;15610,83;15610,83
IGJ;FESR-3-3.1.1-030639D;LOCALE S.A.S. DI MATTEO COSTA E C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;13516,97;13516,97;13516,97
IGJ;FESR-3-3.1.1-030640D;C.R.GE. S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;14311,29;14311,29;14311,29
IGJ;FESR-3-3.1.1-030642D;LE.FA.STAMPI DI LERTORA FABIO E C. S.N.C.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;60400,63;60400,63;60400,63
IGJ;FESR-3-3.1.1-030644D;CUNEO LUIGI;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e decontaminazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;14160;14160;14160
IGJ;FESR-3-3.1.1-030645D;IDROBLU S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Edilizia;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;In Esecuzione;49029,06;49029,06;0
IGJ;FESR-3-3.1.1-030646D;DI CASALE PIETRO S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e decontaminazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;In Esecuzione;25575,75;25575,75;0
IGJ;FESR-3-3.1.1-030648D;ECOLOGITAL MANECO S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e decontaminazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;42943,63;42943,63;42943,63
IGJ;FESR-3-3.1.1-030649C;AMA GROUP S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;76168,75;76168,75;76168,75
IGJ;FESR-3-3.1.1-030650D;INTERNI NAVALI GENOVESI S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;7158,23;7158,23;7158,23
IGJ;FESR-3-3.1.1-030651C;CANTIERE NAVALE CANALETTI S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;LA SPEZIA;Concluso;19500;19500;19500
IGJ;FESR-3-3.1.1-030652D;MICERIUM S.P.A.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;GENOVA;Concluso;6665,73;6665,73;6665,73
IGJ;FESR-3-3.1.1-030653C;ECOLVETRO S.R.L.;M-3;3c;OS3.1;"Investimenti produttivi generici nelle piccole e medie imprese (""PMI"")";Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e decontaminazione;Rilancio della propensione agli investimenti del sistema produttivo;Promuovere la competitività delle piccole e medie imprese, il settore agricolo e il settore della pesca e dell'acquacoltura;SAVONA;Concluso;168885,6;168885,6;168885,6
